Geneid	sub06	sub07	sub08	sub21	sub23	sub24
AT1G05560	0	0	0	0	0	0
AT1G05570	36	23	27	11	6	15
AT1G04393	0	0	0	0	0	0
ath-miR5640	0	0	0	0	0	0
AT1G04397	0	0	0	0	0	0
AT1G05575	5	3	1	0	5	8
AT1G05577	0	0	0	0	0	0
AT1G05580	0	0	0	0	0	0
AT1G05590	5	4	9	8	3	15
AT1G05600	5	2	7	0	3	1
AT1G05610	1	0	0	0	0	0
AT1G05615	0	0	0	0	0	0
AT1G05620	11	7	9	1	3	3
AT1G05630	19	24	24	8	7	8
AT1G05640	1	2	2	0	0	1
AT1G05650	0	0	0	0	0	0
AT1G04403	0	0	0	0	0	0
AT1G05660	0	0	0	0	0	0
AT1G05670	1	1	3	0	0	0
AT1G05675	5	19	8	4	2	6
AT1G05680	0	0	12	1	1	5
AT1G05690	0	1	1	1	1	1
AT1G05700	0	0	0	0	0	0
AT1G04407	0	0	0	0	0	0
AT1G05710	5	1	2	2	5	1
AT1G05720	2	2	11	14	10	12
AT1G04413	0	0	0	0	0	0
AT1G05730	1	0	0	1	1	0
AT1G04417	0	0	0	0	0	0
AT1G05740	0	0	0	0	0	0
AT1G05750	0	2	3	0	3	0
AT1G05760	0	0	0	0	0	0
AT1G05770	1	1	1	0	0	0
AT1G05780	4	0	1	2	4	2
AT1G04423	0	0	0	0	0	0
ath-miR5656	0	0	0	0	0	0
AT1G05783	0	0	0	0	0	0
AT1G04427	0	0	0	0	0	0
AT1G05785	5	3	1	0	2	4
AT1G05790	14	5	15	2	2	3
AT1G05800	0	0	1	0	0	0
AT1G05805	24	30	36	19	16	25
AT1G05810	11	11	10	3	1	4
AT1G05820	0	0	0	1	0	0
AT1G05830	11	8	12	6	0	1
AT1G05835	2	0	0	0	0	0
AT1G04433	0	0	0	0	0	0
AT1G05840	8	7	14	5	3	11
AT1G04437	0	0	0	0	0	0
AT1G05850	317	365	460	740	824	578
AT1G05860	4	0	2	3	5	8
AT1G05870	5	6	8	8	6	8
AT1G05880	0	0	0	0	0	0
AT1G05890	35	24	27	11	6	11
AT1G05894	0	0	0	0	0	0
AT1G05900	6	6	6	6	3	2
AT1G05910	10	9	15	2	2	11
AT1G05920	0	0	0	0	0	0
AT1G05930	0	0	0	0	0	0
AT1G05940	15	16	29	15	12	16
AT1G05950	1	4	2	1	1	1
AT1G05960	28	22	25	11	11	14
AT1G05970	1	3	6	2	3	2
AT1G05980	0	0	0	0	0	0
AT1G05990	0	0	0	0	0	0
AT1G06002	0	0	0	0	0	0
AT1G06000	0	0	0	0	0	0
AT1G06010	5	1	6	3	4	13
AT1G06020	0	0	0	0	0	0
AT1G06030	0	0	0	0	0	0
AT1G06040	42	42	43	74	62	71
AT1G06045	0	0	0	0	0	0
AT1G06050	3	3	5	1	2	2
AT1G06060	9	9	9	7	5	9
AT1G06070	7	5	7	3	3	13
AT1G04443	0	0	0	0	0	0
AT1G06080	5	0	1	1	0	0
AT1G06090	1	0	0	0	0	0
AT1G06100	1	1	2	3	0	2
AT1G06110	17	7	15	10	8	11
AT1G06120	0	0	0	0	0	0
AT1G06130	2	9	20	1	7	8
AT1G06135	0	0	0	0	0	0
AT1G06137	0	0	0	0	0	0
AT1G06140	1	1	1	0	0	0
AT1G06143	1	4	0	2	3	2
AT1G06150	13	15	24	0	1	5
AT1G06148	0	0	0	0	0	1
AT1G06160	5	6	4	9	3	7
AT1G06170	0	0	0	0	0	0
AT1G04447	0	0	0	0	0	0
AT1G06180	0	3	1	2	0	5
AT1G06190	48	47	50	18	26	18
AT1G06200	17	21	29	27	34	48
AT1G06210	12	10	23	15	9	20
AT1G06220	27	28	40	23	15	30
AT1G06225	0	0	0	0	0	0
AT1G06230	23	22	18	20	9	13
AT1G06240	8	9	2	1	5	2
AT1G06250	1	1	0	0	0	0
AT1G06265	0	0	1	0	1	0
AT1G06260	0	0	0	0	0	0
AT1G06270	0	0	0	0	0	3
AT1G06280	0	0	0	0	0	0
AT1G06290	23	33	47	21	18	36
AT1G06310	0	0	0	0	0	0
AT1G06320	0	0	0	0	0	0
AT1G06330	0	0	0	0	0	0
AT1G06340	0	0	0	0	0	0
AT1G06350	1	0	0	1	0	3
AT1G06360	10	10	12	10	16	3
AT1G06380	7	1	8	10	8	4
AT1G06390	22	21	17	7	2	5
AT1G06400	21	12	23	24	15	20
AT1G04453	0	0	0	0	0	0
AT1G06410	38	60	77	21	10	19
AT1G06420	0	0	0	2	0	1
AT1G06430	35	32	49	22	20	26
AT1G06440	1	0	2	1	1	1
AT1G06450	1	2	1	1	0	2
AT1G04463	0	0	0	0	0	0
AT1G06460	105	104	121	118	111	112
AT1G04467	1	0	1	0	0	0
AT1G06470	11	12	11	7	4	8
